ID,Film,Genre1,Genre2,Year
1,Zack and Miri Make a Porno,Romance,Romance,2008
2,Youth in Revolt,Comedy,Romance,2010
3,You Will Meet a Tall Dark Stranger,Comedy,Romance,2010
4,When in Rome,Comedy,Romance,2010
5,What Happens in Vegas,Comedy,Romance,2008
6,Water For Elephants,Drama,Romance,2011
7,WALL-E,Animation,Romance,2008
8,Waitress,Romance,Romance,2007
9,Waiting For Forever,Romance,Romance,2011
10,Valentine's Day,Comedy,Romance,2010
11,Tyler Perry's Why Did I get Married,Romance,Romance,2007
12,Twilight: Breaking Dawn,Romance,Romance,2011
13,Twilight,Romance,Romance,2008
14,The Ugly Truth,Comedy,Comedy,2009
15,The Twilight Saga: New Moon,Drama,Comedy,2009
16,The Time Traveler's Wife,Drama,Drama,2009
17,The Proposal,Comedy,Comedy,2009
18,The Invention of Lying,Comedy,,2009
19,The Heartbreak Kid,Comedy,,2007
20,The Duchess,Drama,,2008
21,The Curious Case of Benjamin Button,Fantasy,,2008
22,The Back-up Plan,Comedy,,2010
23,Tangled,Animation,,2010
24,Something Borrowed,Romance,,2011
25,She's Out of My League,Comedy,,2010
26,Sex and the City Two,Comedy,,2010
27,Sex and the City 2,Comedy,,2010
28,Sex and the City,Comedy,,2008
29,Remember Me,Drama,,2010
30,Rachel Getting Married,Drama,,2008
31,Penelope,Comedy,,2008
32,P.S. I Love You,Romance,,2007
33,Over Her Dead Body,Comedy,Comedy,2008
34,Our Family Wedding,Comedy,Comedy,2010
35,One Day,Romance,,2011
36,Not Easily Broken,Drama,,2009
37,No Reservations,Comedy,Comedy,2007
38,Nick and Norah's Infinite Playlist,Comedy,Comedy,2008
39,New Year's Eve,Romance,,2011
40,My Week with Marilyn,Drama,,2011
41,Music and Lyrics,Romance,,2007
42,Monte Carlo,Romance,,2011
43,Miss Pettigrew Lives for a Day,Comedy,Comedy,2008
44,Midnight in Paris,Romence,,2011
45,Marley and Me,Comedy,Comedy,2008
46,Mamma Mia!,Comedy,Comedy,2008
47,Mamma Mia!,Comedy,Comedy,2008
48,Made of Honor,Comedy,Comedy,2008
49,Love Happens,Drama,,2009
50,Love & Other Drugs,Comedy,Comedy,2010
51,Life as We Know It,Comedy,Comedy,2010
52,License to Wed,Comedy,Comedy,2007
53,Letters to Juliet,Comedy,Comedy,2010
54,Leap Year,Comedy,Comedy,2010
55,Knocked Up,Comedy,Comedy,2007
56,Killers,Action,,2010
57,Just Wright,Comedy,Comedy,2010
58,Jane Eyre,Romance,,2011
59,It's Complicated,Comedy,Comedy,2009
60,I Love You Phillip Morris,Comedy,Comedy,2010
61,High School Musical 3: Senior Year,Comedy,Comedy,2008
62,He's Just Not That Into You,Comedy,Comedy,2009
63,Good Luck Chuck,Comedy,Comedy,2007
64,Going the Distance,Comedy,Comedy,2010
65,Gnomeo and Juliet,Animation,,2011
66,Gnomeo and Juliet,Animation,,2011
67,Ghosts of Girlfriends Past,Comedy,Comedy,2009
68,Four Christmases,Comedy,Comedy,2008
69,Fireproof,Drama,,2008
70,Enchanted,Comedy,Comedy,2007
71,Dear John,Drama,Drama,2010
72,Beginners,Comedy,Comedy,2011
73,Across the Universe,Romance,Drama,2007
74,A Serious Man,Drama,Drama,2009
75,A Dangerous Method,Drama,Drama,2011
76,27 Dresses,Comedy,Comedy,2008
77,(500) Days of Summer,Comedy,Comedy,2009
